Transactie_Datum,Product,Prijs,Betaalwijze,Naam,Plaats,Staat,Land,Account_Aangemaakt,Laatste_Login
10/1/2009 12:05,Product1,1200,Visa,Karina,Fort Lauderdale,FL,United States,1/7/2008 12:53,10/1/2009 16:33
6/1/2009 01:20,Product1,1200,Mastercard,Frank,Melbourne,Victoria,Australia,2/1/2009 17:51,10/1/2009 18:27
10/1/2009 14:56,Product1,1200,Visa,Angela,Ankeny,IA,United States,8/1/2009 03:06,10/1/2009 19:41
7/1/2009 10:01,Product1,1200,Visa,Darren,Pittsboro,NC,United States,7/1/2009 09:04,10/1/2009 20:02
1/1/2009 01:26,Product1,1200,Mastercard,Nikki,New Rochelle,NY,United States,1/1/2009 00:58,10/1/2009 21:31
11/1/2009 02:04,Product1,1200,Visa,chris,Gold Coast,Queensland,Australia,11/1/2009 00:33,11/1/2009 02:11
11/1/2009 14:17,Product1,1200,Visa,Stephanie,Brussels,Brussels (Bruxelles),Belgium,11/1/2009 13:39,11/1/2009 13:39
10/1/2009 21:38,Product1,1200,Visa,Anushka,Maple Ridge District Municipality,British Columbia,Canada,10/1/2009 21:17,11/1/2009 19:32
7/1/2009 06:18,Product1,1200,Mastercard,June,Beachwood,OH,United States,23/2/2006 11:56,11/1/2009 19:35
4/1/2009 08:39,Product2,3600,Diners,Baybars,Prince Albert,Saskatchewan,Canada,3/1/2009 17:17,11/1/2009 21:05
5/1/2009 00:31,Product1,1200,Mastercard,Bonnie,Saltsjobaden,Stockholm,Sweden,4/1/2009 23:45,12/1/2009 00:37
2/1/2009 06:07,Product1,1200,Visa,Cindy,Kemble,England,United Kingdom,30/12/2008 10:21,12/1/2009 02:24
12/1/2009 03:25,Product1,1200,Mastercard,chrissy,W Lebanon,NH,United States,12/1/2009 03:12,12/1/2009 03:22
4/1/2009 13:56,Product1,1200,Mastercard,Tamar,Headley,England,United Kingdom,29/11/2007 09:23,12/1/2009 05:38
7/1/2009 00:12,Product2,3600,Mastercard,Deirdre,Lausanne,Vaud,Switzerland,1/12/2008 06:25,12/1/2009 06:55
12/1/2009 05:18,Product1,1200,Mastercard,Bernadett,Southampton,England,United Kingdom,12/1/2009 04:45,12/1/2009 08:08
8/1/2009 15:16,Product1,1200,Visa,Dottie,Woodsboro,MD,United States,8/1/2009 14:56,12/1/2009 09:29
11/1/2009 11:33,Product1,1200,Visa,Stefan,Stavanger,Rogaland,Norway,11/1/2009 09:02,12/1/2009 10:37
7/1/2009 20:22,Product1,1200,Visa,Gina,Red Deer,Alberta,Canada,23/11/2008 19:30,12/1/2009 12:24
2/1/2009 22:00,Product1,1200,Diners,Lynne,Memphis,TN,United States,2/1/2009 21:04,12/1/2009 13:18
5/1/2009 13:52,Product1,1200,Mastercard,Tammy,Morges,Vaud,Switzerland,5/1/2009 05:55,12/1/2009 14:04
8/1/2009 20:32,Product1,1200,Visa,Kim,Calgary,Alberta,Canada,8/1/2009 20:21,12/1/2009 14:07
8/1/2009 13:34,Product1,1200,Visa,Bruce,Belleville,Ontario,Canada,6/1/2009 14:38,12/1/2009 18:31
11/1/2009 13:08,Product1,1200,Visa,Rosa Maria,Cincinnati,OH,United States,11/1/2009 12:38,12/1/2009 18:44
12/1/2009 19:04,Product1,1200,Visa,Lydia,Comox,British Columbia,Canada,20/9/2008 20:53,12/1/2009 19:01
12/1/2009 13:41,Product1,1200,Visa,Eric,Gasperich,Luxembourg,Luxembourg,12/1/2009 13:16,13/1/2009 01:03
11/1/2009 10:38,Product1,1200,Mastercard,AnaPaula,Helens Bay,Northern Ireland,United Kingdom,4/9/2008 09:26,13/1/2009 02:36
13/1/2009 05:57,Product1,1200,Visa,Robin,Milan,Lombardy,Italy,15/10/2008 05:31,13/1/2009 05:55
13/1/2009 06:13,Product1,1200,Visa,Gitte,Staten Island,NY,United States,13/1/2009 05:17,13/1/2009 07:33
8/1/2009 13:14,Product1,1200,Visa,Dr. Claudia,Oslo,Oslo,Norway,8/1/2009 12:47,13/1/2009 10:49
2/1/2009 11:41,Product1,1200,Visa,Crystal,Farmington,Michigan,United States,1/1/2009 12:00,13/1/2009 18:34
7/1/2009 19:50,Product1,1200,Diners,Delphine,Santa Monica,CA,United States,3/1/2009 12:04,13/1/2009 20:17
1/1/2009 20:28,Product1,1200,Visa,nathalie,Calgary,Alberta,Canada,1/1/2009 20:11,13/1/2009 21:11
3/1/2009 15:22,Product1,1200,Mastercard,Lindi,Vancouver,British Columbia,Canada,20/2/2008 22:45,13/1/2009 23:02
12/1/2009 03:03,Product2,3600,Mastercard,Valda,Irvine,CA,United States,12/1/2009 02:48,14/1/2009 01:07
5/1/2009 08:58,Product2,3600,Mastercard,Marcia,Telgte,Nordrhein-Westfalen,Germany,1/9/2008 03:39,14/1/2009 02:07
10/1/2009 14:03,Product1,1200,Mastercard,Kevin,Cheltenham,England,United Kingdom,13/3/2006 04:56,14/1/2009 02:22
13/1/2009 11:26,Product1,1200,Visa,Clare,Keller,VA,United States,13/1/2009 11:15,14/1/2009 02:39
2/1/2009 12:18,Product1,1200,Visa,Alice,Nakskov,Storstrom,Denmark,5/12/2007 11:37,14/1/2009 04:05
14/1/2009 04:54,Product1,1200,Mastercard,ZENA,Honolulu,HI,United States,14/1/2009 04:34,14/1/2009 04:43
6/1/2009 17:15,Product1,1200,Visa,Andrea,Bubuieci,Chisinau,Moldova,24/12/2008 17:31,14/1/2009 10:27
3/1/2009 13:56,Product1,1200,Visa,Rennae,Amelia Island,FL,United States,3/1/2009 12:30,14/1/2009 13:03
4/1/2009 07:54,Product1,1200,Visa,Gerhard,Alliston,Ontario,Canada,21/10/2005 21:49,14/1/2009 13:06
12/1/2009 07:28,Product1,1200,Amex,Megan,La Alberca,Murcia,Spain,10/12/2008 16:41,14/1/2009 13:44
6/1/2009 15:15,Product1,1200,Mastercard,Danielle,Rathgar,Dublin,Ireland,6/1/2009 14:59,14/1/2009 14:33
13/1/2009 23:56,Product1,1200,Mastercard,Tod,Coral Gables,FL,United States,13/1/2009 23:13,14/1/2009 15:17
14/1/2009 19:32,Product1,1200,Visa,Janaina,Miami,FL,United States,16/12/2008 22:19,14/1/2009 19:28
6/1/2009 21:13,Product1,1200,Visa,Kofi,Vancouver,British Columbia,Canada,7/1/2008 21:16,14/1/2009 20:50
14/1/2009 11:19,Product1,1200,Visa,Jennifer,Jumeira,Dubayy,United Arab Emirates,14/1/2009 10:44,14/1/2009 21:26
13/1/2009 19:39,Product1,1200,Visa,Jolene,Englewood,CO,United States,6/1/2009 22:00,14/1/2009 22:02
8/1/2009 07:26,Product1,1200,Mastercard,anne,Bournemouth,England,United Kingdom,25/1/2008 15:46,15/1/2009 01:36
15/1/2009 02:40,Product1,1200,Mastercard,Alexis,Genoa,IL,United States,15/1/2009 02:04,15/1/2009 02:04
12/1/2009 06:40,Product1,1200,Visa,Dez,Al 'Adliyah,Al Manamah,Bahrain,10/1/2009 12:50,15/1/2009 04:46
15/1/2009 03:43,Product1,1200,Visa,Stephanie,Rouen,Upper Normandy,France,26/12/2008 09:01,15/1/2009 05:39
5/1/2009 15:39,Product1,1200,Visa,Melissa,Parkland,FL,United States,10/12/2008 09:14,15/1/2009 06:01
10/1/2009 05:21,Product1,1200,Amex,CLARE,San Francisco,CA,United States,10/1/2009 00:07,15/1/2009 06:25
15/1/2009 04:12,Product1,1200,Mastercard,catherine,Keller,VA,United States,15/1/2009 04:02,15/1/2009 06:59
12/1/2009 11:48,Product1,1200,Visa,Veronique,Tsawwassen,British Columbia,Canada,24/7/2008 15:48,15/1/2009 08:56
6/1/2009 10:48,Product1,1200,Mastercard,Bruce and Camille,Clinton,NJ,United States,21/8/2007 21:19,15/1/2009 09:32
14/1/2009 09:10,Product1,1200,Mastercard,Ellen,Owensboro,KY,United States,14/1/2009 08:25,15/1/2009 09:40
14/1/2009 22:44,Product1,1200,Visa,Amy,Lakewood Village,TX,United States,14/1/2009 22:21,15/1/2009 09:50
6/1/2009 07:23,Product1,1200,Visa,Anna,Okotoks,Alberta,Canada,21/7/2008 12:03,15/1/2009 10:00
1/1/2009 05:04,Product1,1200,Mastercard,Regina,Glimmen,Groningen,Netherlands,16/12/2002 04:09,15/1/2009 10:50
15/1/2009 11:56,Product1,1200,Visa,Heidi,Calgary,Alberta,Canada,14/1/2009 09:16,15/1/2009 11:39
15/1/2009 11:58,Product1,1200,Visa,Jessica,Kanata,Ontario,Canada,14/1/2009 05:59,15/1/2009 11:49
12/1/2009 09:43,Product1,1200,Diners,Petra,Bergen,Nordrhein-Westfalen,Germany,7/1/2009 08:39,15/1/2009 12:14
15/1/2009 12:33,Product1,1200,Visa,Brian,College Park,MD,United States,15/1/2009 12:19,15/1/2009 13:28
14/1/2009 11:35,Product1,1200,Visa,Kenny,Kailua Kona,HI,United States,13/1/2009 17:42,15/1/2009 15:31
14/1/2009 15:40,Product1,1200,Amex,ayse,Redondo Beach,CA,United States,13/1/2009 19:37,15/1/2009 15:45
3/1/2009 11:08,Product1,1200,Amex,Maria and Timothy,Fountain Hls,AZ,United States,5/6/2006 22:42,15/1/2009 16:37
12/1/2009 01:37,Product1,1200,Visa,IMAN,Brisbane,Queensland,Australia,12/1/2009 01:26,15/1/2009 17:54
16/1/2009 07:21,Product1,2100,Mastercard,Gerald,Mahopac,NY,United States,3/11/2008 14:28,16/1/2009 06:08
15/1/2009 12:54,Product1,1200,Mastercard,Annelies,Ile-Perrot,Quebec,Canada,15/1/2009 12:22,16/1/2009 07:53
7/1/2009 07:19,Product1,1200,Amex,Jocelyn,Bruxelles,Brussels (Bruxelles),Belgium,30/6/2008 09:33,16/1/2009 08:54
3/1/2009 09:56,Product1,1200,Visa,Kara,Chicago,IL,United States,31/12/2008 16:26,16/1/2009 13:43
16/1/2009 17:41,Product1,1200,Visa,Orsi,Rayford,TX,United States,16/1/2009 17:01,16/1/2009 17:56
5/1/2009 05:33,Product1,1200,Visa,Ben,Escondido,CA,United States,5/1/2009 03:19,17/1/2009 00:35
2/1/2009 00:50,Product1,1200,Visa,Sam,Tesvikiye,Istanbul,Turkey,2/1/2009 00:10,17/1/2009 01:57
13/1/2009 01:51,Product1,1200,Visa,Filip and Teresa,Centurion,Gauteng,South Africa,12/1/2009 01:40,17/1/2009 02:23
15/1/2009 10:24,Product1,1200,Visa,Grace,York,England,United Kingdom,13/1/2009 12:30,17/1/2009 04:42
11/1/2009 08:59,Product1,1200,Visa,Chelsey,Ashburn,VA,United States,9/11/2008 05:53,17/1/2009 08:54
15/1/2009 15:56,Product1,1200,Amex,Charis,Los Angeles,CA,United States,11/11/2005 11:49,17/1/2009 10:54
1/1/2009 12:19,Product1,1200,Visa,Marlene,Edgewood,WA,United States,16/1/2006 14:45,17/1/2009 11:38
6/1/2009 14:03,Product1,1200,Visa,Fie,New York,NY,United States,1/5/2008 08:26,17/1/2009 11:44
9/1/2009 15:32,Product1,1200,Diners,Nicole,Basingstoke,England,United Kingdom,7/1/2009 12:31,17/1/2009 12:03
17/1/2009 12:59,Product1,1200,Diners,Linda,Den Haag,Zuid-Holland,Netherlands,29/10/2008 13:09,17/1/2009 13:07
12/1/2009 12:37,Product1,1200,Visa,Janet,Marietta,GA,United States,13/9/2007 14:20,17/1/2009 16:17
4/1/2009 07:43,Product1,1200,Mastercard,Jamie,Houston,TX,United States,4/1/2009 06:51,17/1/2009 17:31
17/1/2009 16:22,Product1,1200,Visa,Chad,West Orange,NJ,United States,17/1/2009 15:22,17/1/2009 18:42
1/1/2009 03:51,Product1,1200,Mastercard,sunny,Amsterdam,Noord-Holland,Netherlands,14/9/2005 22:53,17/1/2009 22:34
18/1/2009 05:27,Product1,1200,Visa,Anna,Downey,CA,United States,18/1/2009 04:28,18/1/2009 04:42
18/1/2009 05:15,Product1,1200,Diners,Roger,Urlingford,Kilkenny,Ireland,18/1/2009 04:44,18/1/2009 04:44
1/1/2009 01:51,Product1,1200,Mastercard,Si,Holte,Kobenhavn,Denmark,14/12/2005 15:46,18/1/2009 04:44
18/1/2009 06:30,Product1,1200,Visa,Sherri,Freienbach,Schwyz,Switzerland,22/6/2008 14:10,18/1/2009 06:21
11/1/2009 10:51,Product1,1200,Mastercard,Katherine,Hofheim am Taunus,Hessen,Germany,6/12/2008 01:34,18/1/2009 07:17
4/1/2009 17:02,Product1,1200,Mastercard,Clare,Lafayette,CA,United States,31/12/2005 00:55,18/1/2009 08:43
17/1/2009 01:23,Product1,1200,Amex,Campbell,Mushrif,,Kuwait,16/1/2009 14:26,18/1/2009 09:08
18/1/2009 02:16,Product1,1200,Visa,Ruth,Nashville,AR,United States,16/1/2009 19:32,18/1/2009 09:13
18/1/2009 11:34,Product2,3600,Visa,Cheryl,New Malden,England,United Kingdom,28/10/2005 14:57,18/1/2009 10:27
18/1/2009 04:38,Product1,1200,Visa,Doug,Bishop Auckland,England,United Kingdom,28/12/2007 13:39,18/1/2009 11:58
18/1/2009 13:26,Product3,7500,Mastercard,Julianne,Navan,Meath,Ireland,18/1/2009 12:20,18/1/2009 12:20
18/1/2009 11:53,Product1,1200,Visa,Shailesh,Joppa,MD,United States,18/1/2009 00:00,18/1/2009 12:23
18/1/2009 12:04,Product1,1200,Visa,Conrad,Joppa,MD,United States,18/1/2009 00:00,18/1/2009 12:23
13/1/2009 19:54,Product1,1200,Diners,Alison,Hampton,NJ,United States,3/1/2006 06:09,18/1/2009 12:51
5/1/2009 21:06,Product1,1200,Mastercard,Tracy,Louisville,KY,United States,5/1/2009 16:27,18/1/2009 13:58
14/1/2009 06:32,Product1,1200,Visa,Kate,Broadlands,VA,United States,12/4/2006 06:14,18/1/2009 14:04
4/1/2009 23:48,Product1,1200,Diners,Sarka,Yellowknife,Northwest Territories,Canada,4/1/2009 22:41,18/1/2009 16:17
18/1/2009 16:32,Product2,3600,Visa,Therese,Los Angeles,CA,United States,18/1/2009 16:23,18/1/2009 16:54
18/1/2009 17:04,Product2,3600,Visa,Abdul-L,New York,NY,United States,18/1/2009 16:58,18/1/2009 16:58
18/1/2009 17:20,Product2,3600,Visa,heidi,Saint Paul,MN,United States,18/1/2009 17:16,18/1/2009 17:16
18/1/2009 17:39,Product2,3600,Visa,jiyoung,New York,NY,United States,18/1/2009 17:34,18/1/2009 17:34
11/1/2009 11:20,Product1,1200,Visa,Klara,Spring Lake Park,MN,United States,31/12/2008 19:48,18/1/2009 17:43
13/1/2009 20:59,Product1,1200,Mastercard,Andrew,Winnipeg,Manitoba,Canada,13/1/2009 16:44,18/1/2009 19:17
12/1/2009 16:50,Product1,1200,Visa,Vicki and Bill,Seattle,WA,United States,4/1/2009 21:33,19/1/2009 01:22
12/1/2009 15:12,Product1,1200,Mastercard,David,Deptford,NJ,United States,12/1/2009 14:07,19/1/2009 03:47
6/1/2009 12:27,Product1,1200,Mastercard,Antonella,Amsterdam,Noord-Holland,Netherlands,6/1/2009 12:04,19/1/2009 04:59
9/1/2009 18:52,Product1,1200,Visa,David,Alpharetta,GA,United States,25/11/2008 07:56,19/1/2009 06:12
18/1/2009 23:17,Product1,1200,Visa,Greg,Washington,DC,United States,18/1/2009 15:18,19/1/2009 06:13
7/1/2009 08:21,Product1,1200,Visa,Jannik,Holmenkollen,Oslo,Norway,3/1/2009 11:06,19/1/2009 06:54
3/1/2009 09:54,Product1,1200,Visa,Sylvia,Zekeriyakoy,Istanbul,Turkey,29/12/2008 10:38,19/1/2009 07:37
5/1/2009 19:37,Product1,1200,Amex,Bernadette,Washington,DC,United States,7/11/2007 09:49,19/1/2009 07:42
4/1/2009 12:49,Product1,1200,Diners,Denise,Montreal,Quebec,Canada,25/5/2007 10:58,19/1/2009 07:58
8/1/2009 11:55,Product2,3600,Visa,Caren,Braunschweig,Lower Saxony,Germany,3/1/2009 12:39,19/1/2009 08:31
14/1/2009 18:21,Product1,1200,Visa,luciana,Athens,GA,United States,25/9/2005 06:25,19/1/2009 11:21
11/1/2009 19:01,Product1,1200,Diners,Maja,Hoschton,GA,United States,11/1/2009 18:17,19/1/2009 12:47
14/1/2009 05:20,Product2,3600,Visa,Kristen,Binningen,Basel-Country,Switzerland,12/1/2009 13:31,19/1/2009 13:07
15/1/2009 08:07,Product1,1200,Visa,Kirstie,Royal Oak,MI,United States,13/12/2008 19:35,19/1/2009 14:59
15/1/2009 08:10,Product1,1200,Visa,Scott,Royal Oak,MI,United States,13/12/2008 19:35,19/1/2009 14:59
2/1/2009 17:45,Product1,1200,Mastercard,Jammie,Belmont,MA,United States,9/12/2005 17:19,19/1/2009 15:36
19/1/2009 16:10,Product1,1200,Mastercard,Frank,Old Greenwich,CT,United States,19/1/2009 15:31,19/1/2009 16:00
19/1/2009 16:55,Product1,1200,Mastercard,scott,Coconut Grove,FL,United States,19/1/2009 16:18,19/1/2009 16:18
10/1/2009 17:41,Product1,1200,Visa,Jiri,Vienna,VA,United States,10/1/2009 16:32,19/1/2009 17:52
18/1/2009 13:49,Product2,3600,Visa,Bev,San Ramon,CA,United States,11/1/2009 12:00,19/1/2009 18:07
15/1/2009 05:47,Product1,1200,Visa,Dave and Amy,Norfolk,VA,United States,15/1/2009 00:21,19/1/2009 22:48
19/1/2009 23:06,Product1,1200,Mastercard,Rebecca,Norfolk,VA,United States,19/1/2009 22:53,19/1/2009 22:53
19/1/2009 11:12,Product1,1200,Visa,Melissa,Aberdeen,Scotland,United Kingdom,27/8/2008 08:22,20/1/2009 00:35
4/1/2009 01:38,Product1,1200,Amex,jeremy,Charlestown,New South Wales,Australia,15/7/2008 21:04,20/1/2009 01:08
20/1/2009 03:11,Product1,1200,Visa,Randy,Wigan,England,United Kingdom,20/1/2009 03:02,20/1/2009 03:06
3/1/2009 10:52,Product1,1200,Visa,Djeiny,Rockville,MD,United States,18/4/2005 09:27,20/1/2009 06:47
20/1/2009 05:24,Product3,7500,Mastercard,Amanda,Shreveport,LA,United States,20/1/2009 05:13,20/1/2009 07:15
20/1/2009 06:03,Product1,1200,Mastercard,Andrea,Shreveport,LA,United States,20/1/2009 05:13,20/1/2009 07:15
10/1/2009 11:37,Product1,1200,Amex,Joanna,Little Silver,NJ,United States,28/12/2008 20:10,20/1/2009 07:42
20/1/2009 05:50,Product1,1200,Visa,Jessica,Abbey Town,England,United Kingdom,20/1/2009 04:23,20/1/2009 07:46
19/1/2009 16:32,Product1,1200,Amex,alison,Mid City West,PA,United States,19/1/2009 10:24,20/1/2009 10:09
18/1/2009 10:42,Product1,1200,Visa,malin,Atlanta,Georgia,United States,18/1/2009 00:00,20/1/2009 11:09
7/1/2009 06:11,Product2,3600,Visa,Tiffany,Paris,Ile-de-France,France,7/1/2009 05:30,20/1/2009 11:22
3/1/2009 08:29,Product1,1200,Visa,Genevieve,Milton Keynes,England,United Kingdom,10/10/2008 01:26,20/1/2009 11:31
1/1/2009 02:09,Product1,1200,Mastercard,Saraya,Dresden,Saxony,Germany,12/3/2006 11:31,20/1/2009 11:56
20/1/2009 12:34,Product1,1200,Mastercard,Anastasia,NYC,NY,United States,20/1/2009 12:17,20/1/2009 12:55
20/1/2009 03:51,Product1,1200,Visa,Elizabeth,The Grange,Queensland,Australia,12/11/2008 03:34,20/1/2009 13:11
15/1/2009 11:26,Product1,1200,Visa,Nicole,Brookline,MA,United States,11/7/2007 11:18,20/1/2009 14:01
5/1/2009 16:55,Product1,1200,Visa,Jeffrey,Montreal-Nord,Quebec,Canada,29/9/2003 17:08,20/1/2009 14:38
12/1/2009 19:47,Product1,1200,Mastercard,Blanca Gabriela,Irving,TX,United States,10/12/2008 21:49,20/1/2009 18:02
4/1/2009 19:20,Product1,1200,Amex,Elisa,Ottawa Hills,OH,United States,4/1/2009 18:38,20/1/2009 18:03
10/1/2009 08:33,Product2,3600,Mastercard,Patricia,Portola Valley,CA,United States,4/2/2007 10:09,20/1/2009 22:06
9/1/2009 14:51,Product1,1200,Visa,Bob,Sydney,New South Wales,Australia,7/1/2009 18:15,21/1/2009 00:29
16/1/2009 02:41,Product3,7500,Visa,Kristyn,Kearns,UT,United States,15/1/2009 18:01,21/1/2009 01:02
16/1/2009 18:36,Product1,1200,Visa,Elizabeth,Wollongong,New South Wales,Australia,1/11/2008 16:32,21/1/2009 01:49
20/1/2009 08:10,Product1,1200,Amex,Cathy,Brooklyn,NY,United States,5/8/2007 18:52,21/1/2009 05:16
6/1/2009 12:45,Product2,3600,Amex,Kaylee,Penngrove,CA,United States,5/1/2009 14:06,21/1/2009 11:18
10/1/2009 08:13,Product1,1200,Visa,suzanne,Lemont,IL,United States,9/1/2009 19:15,21/1/2009 11:35
7/1/2009 14:15,Product1,1200,Mastercard,Cassandra,San Carlos,CA,United States,5/1/2009 15:42,21/1/2009 12:00
8/1/2009 15:27,Product1,1200,Mastercard,Jennifer,Chicago,IL,United States,4/1/2009 22:22,21/1/2009 13:28
21/1/2009 11:36,Product1,1200,Visa,nicole,Oslo,Oslo,Norway,23/12/2008 12:02,21/1/2009 13:47
21/1/2009 14:06,Product1,1200,Visa,Sean,Wantagh,NY,United States,21/1/2009 12:00,21/1/2009 14:06
2/1/2009 02:28,Product1,1200,Mastercard,Morgan,Coomera,Queensland,Australia,3/5/2008 04:14,21/1/2009 16:37
19/1/2009 19:07,Product1,1200,Diners,Harriet,Fort Oglethorpe,GA,United States,19/1/2009 16:52,21/1/2009 17:02
